달맞이축제,월광수변공원,2018-03-02,2008-03-02,"민속놀이마당, 체험마당, 소원지 작성, 축하마당, 기원마당 등","달서구문하원, 월배지역발전협의회",대구광역시 달서구 문화원,"대구광역시 달서구청, 대구광역시 달서구의회",053-667-2174,http://www.dalseo.daegu.kr,,대구광역시 달서구 월곡로 5,대구광역시 달서구 도원동 898-1,35.7988026,128.5482988,2018-12-07
달서구 북(Book) 축제,본리어린이공원,2018-04-14,2018-04-14,"버블쇼, 퍼포먼스, 마술, 마임, 동극공연, 뮤지컬, 도서감상화 및 글짓기대회 등",대구광역시 달서구,대구광역시 달서구,대구광역시 달서구의회,053-667-4811,http://www.dalseolib.kr,,,대구광역시 달서구 본리동 88-4,35.8402996,128.5413956,2018-12-07
달서가족축제,호림강나루공원,2018-05-05,2018-05-05,"개회식, 명랑경기, 가족미션경기, 화합마당, 부대행사 등",대구광역시 달서구여성단체협의회,대구광역시 달서구여성단체협의회,대구광역시 달서구,053-667-3514,http://www.dalseo.daegu.kr,달서여성행복카페(http://cafe.daum.net/womencity-dalseo),대구광역시 달서구 성서공단로 40 (대천동),대구광역시 달서구 대천동 900,35.8328214,128.4872138,2018-12-07
장미꽃 필(feel)무렵,이곡장미공원,2018-05-11,2018-05-13,"콘서트(7080콘스트, 뮤지컬갈라, 브라질 재즈), 더 파티인 로즈가즌(이웃주민 공연, 버스킹, 퍼포먼스 등), 향기가득 부스워트(장미관련 체험, 로즈뷰티, 먹거리존 등), 포포존, 관객참여 피아노공연, 아트풍선 등",(재)달서문화재단,(재)달서문화재단,"대구광역시, 달서구, 달서구의회",053-584-9771,http://www.dscf.okr.kr,,,대구광역시 달서구 이곡동 1306-6,35.8580876,128.5147831,2018-12-07
달서구 평생학습대축제,월광수변공원,2018-09-08,2018-09-08,"주민자치센터 경연대회, 청소년 끼·흥한마당, 체험부스, 작품전시, 어린이 사생실기대회 등",대구광역시 달서구,대구광역시 달서구,,053-667-3215,http://www.dalseo.daegu.kr,,대구광역시 달서구 월곡로 5,대구광역시 달서구 도원동 898-1,35.7988026,128.5482988,2018-12-07
선사문화축제,한샘공원,2018-10-06,2018-10-06,"선사문화 원시인 거래퍼레이드, 선사테마, 야생체험, 선사프리마켓, 선사인 무용제, 도심속 선사음악회 등","세종문화재연구원,달서선사유적사람들",달서구문화원,,053-667-2191,http://www.dalseo.daegu.kr,,,대구광역시 달서구 대천동 353-5,35.8195562,128.5186046,2018-12-07
희망달서 큰잔치,웃는얼굴아트센터,2018-10-12,2018-10-14,"발명 퀴즈왕 선발대회, 웃음폭탄쇼, 희망가득체험부스, 다문화 어울림제, 달서가요제 등","(재)달서문화재단, 대구지식재산센터, 대구전업미술가협회, 대구사회복지공동모금회",(재)달서문화재단,,053-584-9711,http://www.dscf.okr.kr,,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동722-1 웃는얼굴아트센터,35.8432952,128.5227024,2018-12-07
달서 다문화 축제,웃는얼굴아트센터 야외무대,2018-10-14,2018-10-14,"다문화 어울림제, 퍼레이드, 체험부스 운영 등",달서구다문화가족지원센터,대구광역시 달서구,,053-667-2102,http://www.dalseo.daegu.kr,,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동722-1 웃는얼굴아트센터,35.8432952,128.5227024,2018-12-07
달서구시니어 힘모으기 축제 대회,달서구노인종합복지관,2018-10-24,2018-10-26,"기념식, 건강체험부스, 가요제, 명사특장, 연극 등",달서구노인종합복지관,대구광역시 달서구,,053-667-3596,http://www.dalseo.daegu.kr,,대구광역시 달서구 학산로 140,대구광역시 달서구 본동 804-2,35.8333518,128.5417135,2018-12-07
청소년 댄스·가요제,달서구청소년수련관,2018-06-16,2018-06-16,청소년 댄스 및 가요제,달서구청소년수련관,대구광역시 달서구,,053-667-3222,http://www.dalseo.daegu.kr,달서구청소년수련관(www.dsyc.or.kr),,대구광역시 달서구 상인동 1593-6,35.8072058,128.5594217,2018-12-07
청소년 3:3 농구대회,청소년수련관 실내체육관,2018-06-24,2018-06-24,중.고등부 동아리 3:3 농구경기대회,달서구청소년수련관,대구광역시 달서구,,053-667-3222,http://www.dalseo.daegu.kr,달서구청소년수련관(www.dsyc.or.kr),대구광역시 달서구 상화로 420(상인동),대구광역시 달서구 상인동 1593-6,35.8072058,128.5594217,2018-12-07
청소년 끼흥한마당,월광수변공원,2018-09-08,2018-09-08,분야를 총망라한 청소년의 다양한 끼와 재능 경연 및 특별초청 공연 진행,대구광역시 달서구 청소년수련관,대구광역시 달서구 청소년수련관,,053-667-3222,http://www.dalseo.daegu.kr,달서구청소년수련관(www.dsyc.or.kr),,대구광역시 달서구 도원동 952,35.7981482,128.5475199,2018-12-07
청소년 10:10 피구대회,청소년수련관 실내체육관,2018-09-15,2018-09-15,여자 중등부 10:10 피구대회 및 시상식 운영,대구광역시 달서구 청소년수련관,대구광역시 달서구 청소년수련관,,053-667-3222,http://www.dalseo.daegu.kr,달서구청소년수련관(www.dsyc.or.kr),대구광역시 달서구 상화로 420(상인동),대구광역시 달서구 상인동 1593-6,35.8072058,128.5594217,2018-12-07
청소년거리음악회,달서구청소년수련관 야외마당 (미정),2018-10-27,2018-10-27,"거리음악회 (버스킹, 통기타, 댄스, 등), 체험부스 운영",대구광역시 달서구 청소년수련관,대구광역시 달서구 청소년수련관,,053-667-3222,http://www.dalseo.daegu.kr,달서구청소년수련관(www.dsyc.or.kr),대구광역시 달서구 상인서로 103-5(상인동),대구광역시 달서구 상인동 1510,35.8181025,128.5398443,2018-12-07
청소년 동아리발표회,청소년수련관 실내체육관,2018-11-24,2018-11-24,청소년 동아리 경연 및 작품 발표회,대구광역시 달서구 청소년수련관,대구광역시 달서구 청소년수련관,,053-667-3222,http://www.dalseo.daegu.kr,달서구청소년수련관(www.dsyc.or.kr),대구광역시 달서구 상화로 420(상인동),대구광역시 달서구 상인동 1593-6,35.8072058,128.5594217,2018-12-07
고3문화축제,계명문화대학교 체육관,2018-12-07,2018-12-07,"학교별 장기자랑, 축하공연, 감사편지 낭독 등",대구광역시 달서구 청소년수련관,대구광역시 달서구 청소년수련관,,053-667-3222,http://www.dalseo.daegu.kr,달서구청소년수련관(www.dsyc.or.kr),대구광역시 달서구 달서대로 675(신당동),대구광역시 달서구 신당동 700,35.8594502,128.4863474,2018-12-07
두류 젊음의 거리 맛 페스티벌,두류 젊음의 거리 일원,2018-10-20,2018-10-20,"로드펍(Road Pub), 맛Sta를 찾아라, 청년 창업컨설팅, 만원의 서프라이즈, 젊음의 거리 대표음식 소개 등","(사)한국외식업중앙회 대구달서구지부, 두류젊음의거리 상인회",대구광역시 달서구,,053-667-2782,http://www.dalseo.daegu.kr,,대구광역시 달서구 달구벌대로344길(두류동),대구광역시 달서구 두류동,35.855947,128.553628,2018-12-07
